"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"01:52:07.2259866","LightingService.exe","6180","RegCloseKey","HKU\.DEFAULT","SUCCESS",""
"01:52:07.2259917","LightingService.exe","6180","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Cryptography\Defaults\Provider\Microsoft Enhanced RSA and AES Cryptographic Provider","SUCCESS","Desired Access: Read"
"01:52:07.2260077","LightingService.exe","6180","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\MUI\Settings","REPARSE","Desired Access: Read"
"01:52:07.2260186","LightingService.exe","6180","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Cryptography\Defaults\Provider\Microsoft Enhanced RSA and AES Cryptographic Provider","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"01:52:07.2260261","LightingService.exe","6180","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Cryptography\Defaults\Provider\Microsoft Enhanced RSA and AES Cryptographic Provider\Type","SUCCESS","Type: REG_DWORD, Length: 4, Data: 24"
"01:52:07.2260271","LightingService.exe","6180","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"01:52:07.2260328","LightingService.exe","6180","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Cryptography\Defaults\Provider\Microsoft Enhanced RSA and AES Cryptographic Provider\Image Path","BUFFER OVERFLOW","Length: 12"
"01:52:07.2260391","LightingService.exe","6180","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Cryptography\Defaults\Provider\Microsoft Enhanced RSA and AES Cryptographic Provider\Image Path","SUCCESS","Type: REG_SZ, Length: 66, Data: %SystemRoot%\system32\rsaenh.dll"
"01:52:07.2260451","LightingService.exe","6180","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Cryptography\Defaults\Provider\Microsoft Enhanced RSA and AES Cryptographic Provider\Image Path","BUFFER OVERFLOW","Length: 45"
"01:52:07.2260495","LightingService.exe","6180","RegOpenKey","HKU\S-1-5-18","REPARSE","Desired Access: Maximum Allowed"
"01:52:07.2260541","LightingService.exe","6180","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Cryptography\Defaults\Provider\Microsoft Enhanced RSA and AES Cryptographic Provider\Image Path","SUCCESS","Type: REG_SZ, Length: 66, Data: %SystemRoot%\system32\rsaenh.dll"
"01:52:07.2260710","LightingService.exe","6180","RegOpenKey","HKU\.DEFAULT","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"01:52:07.2260924","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2261041","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: Name"
"01:52:07.2261084","LightingService.exe","6180","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2261165","LightingService.exe","6180","RegOpenKey","HKLM\Software\Microsoft\Cryptography","SUCCESS","Desired Access: Read"
"01:52:07.2262876","LightingService.exe","6180","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Cryptography","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"01:52:07.2262932","LightingService.exe","6180","RegQueryValue","HKLM\SOFTWARE\Microsoft\Cryptography\MachineGuid","BUFFER OVERFLOW","Length: 12"
"01:52:07.2262992","LightingService.exe","6180","RegQueryValue","HKLM\SOFTWARE\Microsoft\Cryptography\MachineGuid","SUCCESS","Type: REG_SZ, Length: 74, Data: 01228342-55ed-4048-aa24-e99898e36692"
"01:52:07.2263046","LightingService.exe","6180","RegQueryValue","HKLM\SOFTWARE\Microsoft\Cryptography\MachineGuid","BUFFER OVERFLOW","Length: 49"
"01:52:07.2263087","LightingService.exe","6180","RegQueryValue","HKLM\SOFTWARE\Microsoft\Cryptography\MachineGuid","SUCCESS","Type: REG_SZ, Length: 74, Data: 01228342-55ed-4048-aa24-e99898e36692"
"01:52:07.2263112","LightingService.exe","6180","RegOpenKey","HKU\.DEFAULT\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"01:52:07.2263183","LightingService.exe","6180","RegCloseKey","HKLM\SOFTWARE\Microsoft\Cryptography","SUCCESS",""
"01:52:07.2263283","LightingService.exe","6180","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2264055","LightingService.exe","6180","RegQueryKey","HKLM","SUCCESS","Query: Name"
"01:52:07.2264189","LightingService.exe","6180","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Cryptography\Offload","NAME NOT FOUND","Desired Access: Read"
"01:52:07.2264346","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2264436","LightingService.exe","6180","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2264507","LightingService.exe","6180","RegQueryKey","HKLM","SUCCESS","Query: Name"
"01:52:07.2264562","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: Name"
"01:52:07.2264576","LightingService.exe","6180","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Cryptography\DESHashSessionKeyBackward","NAME NOT FOUND","Desired Access: Read"
"01:52:07.2264668","LightingService.exe","6180","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Cryptography\Defaults\Provider\Microsoft Enhanced RSA and AES Cryptographic Provider","SUCCESS",""
"01:52:07.2264866","LightingService.exe","6180","RegOpenKey","HKU\.DEFAULT\Control Panel\Desktop\LanguageConfiguration","NAME NOT FOUND","Desired Access: Read"
"01:52:07.2264880","LightingService.exe","6180","RegQueryKey","HKU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2264927","LightingService.exe","6180","RegQueryKey","HKU","SUCCESS","Query: Name"
"01:52:07.2264986","LightingService.exe","6180","RegOpenKey","HKU\S-1-5-18","REPARSE","Desired Access: Maximum Allowed"
"01:52:07.2265179","LightingService.exe","6180","RegOpenKey","HKU\.DEFAULT","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"01:52:07.2265281","LightingService.exe","6180","RegCloseKey","HKU\.DEFAULT","SUCCESS",""
"01:52:07.2265353","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2265402","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: Name"
"01:52:07.2265474","LightingService.exe","6180","RegCreateKey","HKU\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\WinTrust\Trust Providers\Software Publishing","SUCCESS","Desired Access: Read, Disposition: REG_OPENED_EXISTING_KEY"
"01:52:07.2265669","LightingService.exe","6180","RegSetInfoKey","HKU\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\WinTrust\Trust Providers\Software Publishing","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
